account,entry_collect,entry_collect.OpenLessPreMktLow,entry_collect.SPYGap,entry_collect.SPYLastLessOpen,entry_collect.SPYNetpercChange,entry_collect.VWAPLessLast,entry_collect.breakTime,entry_collect.dayHighLessPreMktLow,entry_collect.gap,entry_collect.highLessOpen,entry_collect.preMktBars,entry_collect.preMktLowLessLast,entry_collect.preMktRange,entry_collect.rvol,entry_collect.spread,entry_collect.vxxRVOL,entry_fees,entry_pl,entry_price,entry_shares,entry_side,entry_time,exit_collect,exit_fees,exit_price,exit_shares,exit_side,exit_time,matched_shares,mtm_pl,symbol
Cloud,,0.3525172671,0.4347845942,-0.2466450937,0.0671625137,0.3040585088,2017-04-27 09:32:28.658000,0.3525172671,-45.0623742711,0.0,16.0,0.1762608748,2.8201426192,8.6722869873,0.1762608748,2.7246155739,0.47,-70.0000762939,38.5999984741,-100.0,-1.0,2017-04-27 09:32:28.659700,,0.37,39.2999992371,100.0,1.0,2017-04-27 09:35:47.641700,-100.0,-70.0000762939,CTB
Cloud,,0.2073573485,0.365355738,-0.1481220776,0.092279911,0.1217267873,2017-04-27 09:32:12.563000,0.2073573485,-42.3576230369,0.0,83.0,0.1974848034,1.1849050536,25.1933269501,0.0691191162,2.6661887169,0.46,-76.4398803711,43.4300003052,-98.0,-1.0,2017-04-27 09:32:12.564700,,0.36,44.2099990845,98.0,1.0,2017-04-27 13:24:36.922700,-98.0,-76.4398803711,AAL
Cloud,,0.162858004,0.3766200548,-0.1730349305,0.083899498,0.2075709716,2017-04-27 09:32:01.314000,0.325716008,-57.7714399565,0.162858004,51.0,0.1624541885,0.9262556259,14.7715120316,0.0407115889,2.6266810894,0.51,-73.7299537659,57.4000015259,-101.0,-1.0,2017-04-27 09:32:01.315700,,0.37,58.1300010681,101.0,1.0,2017-04-27 09:32:29.804700,-101.0,-73.7299537659,LVS
Cloud,,0.2010637409,0.8266171581,-0.424472632,0.075507164,0.209570831,2017-04-27 09:32:33.336000,0.2680842777,-14.1914573157,0.0670205368,85.0,0.0223408891,1.5414861946,12.1048326492,0.0223398238,2.7617511749,0.89,-51.2900042534,6.7100000381,-223.0,-1.0,2017-04-27 09:32:33.337700,,0.83,6.9400000572,223.0,1.0,2017-04-27 13:45:44.626700,-223.0,-51.2900042534,CLF
Cloud,,0.2561255616,0.0627534201,0.0051236055,0.2069592476,0.2255308011,2017-10-24 09:33:40.421000,0.5263361531,-39.852027068,0.2702105915,72.0,0.01408503,1.0245022462,14.0965824127,0.0678731175,3.6964988708,0.13,33.2398681641,316.799987793,-12.0,-1.0,2017-10-24 09:33:40.422700,,0.05,314.029998779,12.0,1.0,2017-10-24 15:45:06.451700,-12.0,33.2398681641,BIIB
Cloud,,0.2571591273,0.4345272797,0.0886806935,0.230383873,0.1376059159,2017-10-24 09:34:14.538000,0.2571591273,-108.886406826,0.0,30.0,0.0354709243,0.5497891789,14.2494115829,0.0620791916,3.5185847282,0.57,-54.5602416992,123.589996338,-88.0,-1.0,2017-10-24 09:34:14.539700,,0.32,124.209999084,88.0,1.0,2017-10-24 11:01:41.530700,-88.0,-54.5602416992,BUD
Cloud,,0.0702982654,0.6890152591,-0.0281493436,0.1835107803,0.0773633284,2017-10-24 09:32:00.854000,0.1687244192,-116.690066904,0.0984261537,44.0,0.0296726693,0.6889830761,21.0096302032,0.0562450489,4.4496631622,0.79,60.2000427246,83.6100006104,-140.0,-1.0,2017-10-24 09:32:00.855700,,0.52,83.1800003052,140.0,1.0,2017-10-24 15:45:00.077700,-140.0,60.2000427246,NVS
Cloud,,0.048353577,-0.0632285448,-0.0264071824,-0.1100599766,0.1024933469,2016-08-24 09:32:08.381000,0.048353577,-37.1681372203,0.0,59.0,0.1376147342,0.60253835,18.6612358093,0.0297527732,4.945546627,0.23,97.679977417,102.120002747,-37.0,-1.0,2016-08-24 09:32:08.382700,,0.14,99.4800033569,37.0,1.0,2016-08-24 15:45:03.379700,-37.0,97.679977417,GOLD
Cloud,,0.0595161317,1.0341293272,-0.0372121271,0.4955649376,0.0804640045,2018-02-23 09:32:04.868000,0.2083107179,-37.9096352931,0.1487945862,74.0,0.0074412902,0.7662882876,29.0915184021,0.0223210326,1.1632353067,0.36,-51.0601806641,52.2099990845,-74.0,-1.0,2018-02-23 09:32:04.869700,,0.27,52.9000015259,74.0,1.0,2018-02-23 09:39:28.869700,-74.0,-51.0601806641,GIS
Cloud,,0.127588165,0.1484086455,-0.0068782526,0.4902362823,0.3393697716,2018-02-23 09:51:38.678000,0.6615862441,-13.1467182033,0.533998079,88.0,0.0005327306,0.501275061,10.6726760864,0.0053387101,0.656244874,0.07,18.5000610352,131.300003052,-10.0,-1.0,2018-02-23 09:51:38.679700,,0.04,129.449996948,10.0,1.0,2018-02-23 15:45:00.317700,-10.0,18.5000610352,OLED
